Student ID,Student Name,Age,Gender,State/City,School/Institution Name,Education Level,Stream/Field of Study,Marks Percentage,No. of Students in Class,Scholarship Status
SID1,Aryan,8.0,Male,Lucknow,School_85,Postgraduate,Arts,75.33,27,No
SID2,Priya,19.0,Mle,Delhi,School_99,Secondary,,52.0,55,Yes
SID3,Priya,19.0,Others,Pune,School_91,Higher Secondary,Science,37.96,20,No
SID4,Aryan,6.0,Female,Bangalore,School_87,Primary,,45.39,31,No
SID5,Pooja,9.0,Female,Lucknow,School_74,Undergraduate,Science,50.53,28,Yes
SID6,Aryan,11.0,Male,Mumbai,School_92,Primary,,59.37,52,Yes
SID7,Aditya,9.0,Others,Hyderabad,School_22,Secondary,,,60,Yes
SID8,Aarav,7.0,Others,Hyderabad,School_68,Secondary,,72.6,36,No
SID9,Simran,9.0,Female,Jaipur,School_73,Secondary,,82.23,21,Yes
SID10,Aditya,6.0,Male,Bangalore,School_19,Higher Secondary,Medical,77.0,46,No
SID11,Aryan,13.0,Male,Lucknow,School_66,Higher Secondary,Engineering,68.0,43,No
SID12,Karan,7.0,Female,Hyderabad,School_13,Secondary,,42.94,20,No
SID13,Karan,19.0,Female,Lucknow,School_96,Postgraduate,Engineering,76.21,50,No
SID14,Aryan,22.0,Others,Jaipur,School_89,Secondary,,61.48,31,Yes
SID15,Priya,9.0,Female,Jaipur,School_85,Secondary,,66.01,45,Yes
SID16,Aryan,19.0,Male,Kolkata,School_7,Primary,,98.89,38,Yes
SID17,Aarav,,Male,Chennai,School_38,Postgraduate,Arts,85.59,24,Yes
SID18,Priya,15.0,Others,Mumbai,School_14,Higher Secondary,Commerce,85.69,30,Yes
SID19,Aditya,9.0,Male,Bangalore,School_80,Secondary,,67.12,20,Yes
SID20,Karan,22.0,Others,Ahmedabad,School_98,Postgraduate,Science,93.23,35,Yes
SID21,Aryan,12.0,Others,Pune,School_48,Postgraduate,Engineering,47.5,60,Yes
SID22,Pooja,18.0,Male,Pune,School_80,Undergraduate,Commerce,66.92,60,No
SID23,Karan,16.0,Others,Kolkata,School_59,Postgraduate,Medical,49.76,40,No
SID24,Simran,10.0,Female,Mumbai,School_36,Primary,,,23,Yes
SID25,Rohan,23.0,Femle,Pune,School_31,Higher Secondary,Commerce,55.47,27,Yes
SID26,Simran,14.0,Others,Hyderabad,School_23,Primary,,68.92,24,No
SID27,Ishita,7.0,Others,Chennai,School_77,Primary,,,32,No
SID28,Aditya,13.0,Female,Hyderabad,School_86,Primary,,93.42,43,No
SID29,Priya,23.0,Female,Kolkata,School_86,Postgraduate,Arts,98.15,60,No
SID30,Karan,14.0,Others,Ahmedabad,School_60,Secondary,,63.17,34,No
SID31,Karan,14.0,Others,Ahmedabad,School_43,Postgraduate,Medical,,39,No
SID32,Aryan,16.0,Male,Kolkata,School_28,Secondary,,69.85,57,Yes
SID33,Priya,8.0,Others,Lucknow,School_82,Undergraduate,Engineering,60.92,35,Yes
SID34,Aarav,20.0,Male,Hyderabad,School_92,Undergraduate,Medical,59.5,23,Yes
SID35,Aryan,18.0,Female,Lucknow,School_86,Undergraduate,Science,62.83,27,No
SID36,Simran,15.0,Femle,Lucknow,School_16,Primary,,79.72,31,No
SID37,Rohan,12.0,Male,Hyderabad,School_3,Primary,,94.2,26,Yes
SID38,Rohan,12.0,Others,Hyderabad,School_60,Undergraduate,Commerce,96.92,39,Yes
SID39,Ishita,8.0,Male,Pune,School_50,Undergraduate,Engineering,45.19,52,No
SID40,Aryan,23.0,Others,Lucknow,School_20,Secondary,,,59,No
SID41,Aditya,9.0,Others,Jaipur,School_74,Secondary,,88.95,57,Yes
SID42,Priya,21.0,Female,Bangalore,School_94,Undergraduate,Medical,71.77,48,No
SID43,Priya,21.0,Others,Jaipur,School_70,Postgraduate,Medical,36.88,29,Yes
